MLBID,FangraphsID,
641726,19345,
641447,19805,
664141,17578,
666120,19951,
665620,20276,
665152,19350,
665506,19948,
661388,20503,
664761,21618,
641401,21205,
668941,19574,
665561,21646,
675921,23252,
630105,18036,
622761,17273,
671250,20040,
669134,22217,
656849,20302,
676051,23293,
676979,27463,
673357,20043,
641582,19647,
663611,20521,
606213,17423,
672386,22581,
657240,16703,
663878,20160,
669289,19997,
641672,19264,
676596,20418,
657044,16647,
660294,27459,
669145,20370,
663330,18872,
669211,19362,
602104,18795,
663624,18373,
670056,19231,
666915,19966,
660620,20275,
657376,19899,
656793,20153,
621290,14545,
640448,15009,
656913,21333,
628450,19334,
668687,20329,
642130,16418,
656232,19866,
664299,17606,
660600,20447,
622100,19533,
656876,25385,
656420,16610,
623437,15145,
663903,25377,
672578,22713,
667670,19627,
666674,20589,
680777,24618,
665926,19950,
657611,16840,
669459,20515,
663474,18000,
662139,19918,
650668,20739,
656976,19892,
642203,19266,
621500,14555,
664074,17920,
663647,18577,
640444,19800,
667465,22052,
664948,18152,
593619,12178,
657108,20078,
680702,24591,
592530,15767,
664714,19942,
605353,17684,
656716,19392,
592622,16042,
621011,17750,
673451,27461,
663886,17988,
666185,20126,
596056,16852,
665862,20454,
660821,19913,
642201,19346,
641680,16930,
665750,18900,
669087,22209,
663662,18353,
670351,19331,
683734,26197,
672695,22799,
676801,19599,
666211,19960,
664789,18136,
664728,21614,
663697,21523,
668731,22168,
670042,19354,
656821,16593,
641943,19818,
663630,19928,
676701,20056,
673490,27506,
672779,22871,
660731,19909,
641540,19409,
663554,20492,
685503,27505,
663734,18699,
669373,22267,
670370,19521,
666160,19956,
669008,19710,
621008,19477,
656568,20501,
644433,16953,
677651,20391,
665155,21635,
663905,18395,
670084,19577,
677960,23796,
666135,20325,
666801,21987,
670097,19562,
656847,19348,
641999,19170,
669432,22286,
613564,16686,
672701,20540,
670768,20332,
645305,18551,
656537,16947,
666163,20287,
624522,19795,
670912,22487,
656529,18548,
663556,21483,
660688,19610,
624418,16377,
663698,21524,
660365,27513,
628451,18819,
664850,18142,
624503,16337,
667674,19634,
663738,21537,
656548,20631,
670462,20034,
657011,17478,
672715,22815,
547942,27458,
663616,21501,
665861,21735,
621076,18331,
605138,19243,
642092,19826,
672284,22558,
622668,15971,
606993,12198,
643269,19267,
547001,18769,
656353,19871,
663460,21455,
641561,16446,
666137,19952,
669302,22250,
664731,18433,
642456,19615,
670764,22458,
608422,15808,
680911,24655,
671277,23735,
676840,20339,
670955,20539,
664314,19151,
650331,18365,
669424,19541,
658668,19698,
593590,14636,
642727,16417,
606336,8651,
663527,17893,
666201,26410,
661269,19278,
665482,20233,
650496,20617,
656180,19864,
656467,18482,
641927,21224,
670623,20036,
605504,12719,
663804,21549,
605507,16094,
663897,19931,
666129,21844,
676391,20352,
663574,19926,
669674,25379,
663837,21558,
669212,20203,
676646,19667,
677551,23667,
657136,19896,
663457,21454,
666159,20369,
656731,21318,
664670,21127,
656896,19890,
657757,19901,
666931,19968,
656494,16098,
669394,22275,
657093,17489,
596082,16209,
528748,21183,
669288,19643,
656413,20321,
660644,20536,
668820,22175,
666205,20167,
663765,18674,
669016,20202,
680776,24617,
656509,17216,
607111,13254,
664770,18123,
663967,21587,
667452,20311,
666397,27534,
668930,22186,
686894,27690,
691023,27475,
683011,27647,
676609,23401,
687263,31347,
807799,31837,
666745,25386,
664954,18217,
693049,30162,
676116,23312,
666165,25805,
689172,27735,
673540,31838,
663368,19921,
660261,31839,
680570,24492,
695243,31757,
666150,26149,
669477,27577,
